from,to,weight
Bone Cabin Quarry,Giant ground dwelling browser,1
Bone Cabin Quarry,Giant ground dwelling grazer,3
Bone Cabin Quarry,Large ground dwelling grazer,2
Bone Cabin Quarry,Large ground dwelling hypercarnivore,1
Bone Cabin Quarry,Medium ground dwelling browser,1
Bone Cabin Quarry,Medium ground dwelling grazer,1
Bone Cabin Quarry,Small ground dwelling grazer,1
Bone Cabin Quarry,Tiny ground dwelling carnivore,1
Bone Cabin Quarry,Tiny ground dwelling omnivore,1
Reed's Quarry 13,Giant ground dwelling browser,1
Reed's Quarry 13,Giant ground dwelling grazer,1
Reed's Quarry 13,Large ground dwelling grazer,1
Reed's Quarry 13,Medium ground dwelling grazer,1
Reed's Quarry 13,Small ground dwelling grazer,1
Reed's Quarry 13,Tiny ground dwelling carnivore,1
Reed's Quarry 13,Titanic ground dwelling browser,1
Zane Quarry,Giant ground dwelling browser,1
Zane Quarry,Giant ground dwelling grazer,2
Zane Quarry,Large ground dwelling grazer,1
Zane Quarry,Medium ground dwelling browser,1
Zane Quarry,Medium ground dwelling carnivore ,1
Howe Quarry,Giant ground dwelling browser,1
Howe Quarry,Giant ground dwelling grazer,3
Howe Quarry,Large ground dwelling grazer,1
Howe Quarry,Large ground dwelling hypercarnivore,1
Howe Quarry,Medium ground dwelling grazer,1
Howe-Stephens Quarry,Giant ground dwelling browser,1
Howe-Stephens Quarry,Giant ground dwelling grazer,2
Howe-Stephens Quarry,Large ground dwelling grazer,2
Howe-Stephens Quarry,Large ground dwelling hypercarnivore,1
Howe-Stephens Quarry,Small ground dwelling grazer,1
Howe-Stephens Quarry,Tiny ground dwelling grazer,1
Howe-Stephens Quarry,Titanic ground dwelling browser,1
Poison Creek Quarry,Giant ground dwelling browser,1
Poison Creek Quarry,Giant ground dwelling grazer,3
Poison Creek Quarry,Large ground dwelling grazer,1
Poison Creek Quarry,Large ground dwelling hypercarnivore,1
Poison Creek Quarry,Medium ground dwelling grazer,1
Little Houston Quarry,Giant ground dwelling browser,1
Little Houston Quarry,Giant ground dwelling grazer,2
Little Houston Quarry,Large ground dwelling hypercarnivore,1
Little Houston Quarry,Medium ground dwelling grazer,1
